cat,paper,year,id,memory_object,substrate,tf,priority,role,url,status,reading_status,note_path
S6 Retrieval / external memory,MemCam,2026,arXiv:2603.26193,camera-controlled scene consistency,compressed memory frames + co-visibility retrieval,System,Related,camera/FOV-aware retrieval memory。,https://arxiv.org/abs/2603.26193,From prior docs / To verify,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s6_2603_26193_memcam.md
S6 Retrieval / external memory,SlotMemory / EM-Vid / DecMem,2026,2605.31033 / 2605.23610 / 2605.31336,entity/global-local memory,slot / patch bank / decoupled memory,mixed,High,作为 retrieval memory 与 entity memory 的交叉。,,Verified for SlotMemory and EM-Vid; DecMem to verify,web-read,notes/paper_notes/web_read_all_v0.4/s6_2605_31033_slotmemory_em_vid_decmem.md
S6 Retrieval / external memory,SWIFT,2026,arXiv:2605.09442,multi-prompt semantic memory,semantic injection cache + adaptive window,Likely yes,Related,prompt-adaptive external/internal memory。,https://arxiv.org/html/2605.09442v1,From prior docs / To verify,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s6_2605_09442_swift.md
S7 Video world model memory,Beyond Pixel Histories: World Models with Persistent 3D Memory,2026,arXiv:2603.03482,persistent 3D environment,explicit 3D memory beyond pixel histories,Trained/system,High,强调 pixel history 不足，需要 persistent 3D memory。,https://arxiv.org/abs/2603.03482,Verified by web,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s7_2603_03482_beyond_pixel_histories_world_models_with_persistent_3d_memory.md
S7 Video world model memory,DriveWAM: Video Generative Priors Enable Scalable World-Action Modeling for Autonomous Driving,2026,arXiv:2605.28544,driving world-action memory,video-action generation / autonomous driving world model,Trained,Related,自动驾驶 world-action model 背景。,https://arxiv.org/abs/2605.28544,Verified by web,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s7_2605_28544_drivewam_video_generative_priors_enable_scalable_world_action_modeling.md
S7 Video world model memory,Echo-Memory: Action World Model Memory Benchmark / Study,2026,arXiv:2606.09803,action world model memory,benchmark/study,N/A,Related,action world model memory 评测/分析。,https://arxiv.org/abs/2606.09803,Verified by web,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s7_2606_09803_echo_memory_action_world_model_memory_benchmark_study.md
S7 Video world model memory,GAIA-1 / DriveDreamer / MagicDrive / Vista / Copilot4D / DriveLM etc.,2023-2025,various,driving world simulation / scene dynamics,world model / controllable driving video,Trained,Background,不是 memory 主线，但可作为 autonomous-driving world model 背景。,,Need targeted verification if included,metadata-only,notes/paper_notes/web_read_all_v0.4/s7_noid_gaia_1_drivedreamer_magicdrive_vista_copilot4d_drivelm_etc.md
S7 Video world model memory,Genie 2: A Large-scale Foundation World Model,2024,DeepMind blog,long-horizon world memory,foundation world model / interactive environment,N/A,Background,用于工业界 world memory 叙事。,https://deepmind.google/blog/genie-2-a-large-scale-foundation-world-model/,Verified by web,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s7_noid_genie_2_a_large_scale_foundation_world_model.md
S7 Video world model memory,Genie 3: A New Frontier for World Models,2025,DeepMind blog,real-time interactive world memory,general-purpose real-time world model,N/A,Background,说明实时交互与长期一致性是 world model 核心能力。,https://deepmind.google/blog/genie-3-a-new-frontier-for-world-models/,Verified by web,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s7_noid_genie_3_a_new_frontier_for_world_models.md
S7 Video world model memory,Hybrid Spatial Memory / MosaicMem,2026,arXiv:2603.17117,controllable spatial world model,3D patch lifting + native conditioning,Trained/system,High,hybrid spatial memory。,https://arxiv.org/abs/2603.17117,Verified by web,web-read,notes/paper_notes/web_read_all_v0.4/s7_2603_17117_hybrid_spatial_memory_mosaicmem.md
S7 Video world model memory,Latent Spatial Memory for Video World Models / Mirage,2026,arXiv:2606.09828,3D spatial persistence,persistent latent 3D cache / depth-guided back-projection,Trained/system,Must-read,latent-space 3D memory 核心新论文。,https://arxiv.org/abs/2606.09828,Verified by web,web-read,notes/paper_notes/web_read_all_v0.4/s7_2606_09828_latent_spatial_memory_for_video_world_models_mirage.md
S7 Video world model memory,Learning World Models for Interactive Video Generation,2025,arXiv:2505.21996,interactive rollout memory,VRAG + explicit global state conditioning,Trained/system,High,指出 AR world model 的 compounding error 和 insufficient memory mechanisms。,https://arxiv.org/abs/2505.21996,Verified by web,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s7_2505_21996_learning_world_models_for_interactive_video_generation.md
S7 Video world model memory,LiveWorld: Simulating Out-of-Sight Dynamics in Generative Video World Models,2026,arXiv:2603.07145,out-of-sight dynamic world state,persistent global state: static 3D background + dynamic entities,Trained/system,Must-read,out-of-sight dynamics 核心论文：世界不可见时也应继续演化。,https://arxiv.org/abs/2603.07145,Verified by web,web-read,notes/paper_notes/web_read_all_v0.4/s7_2603_07145_liveworld_simulating_out_of_sight_dynamics_in_generative_video_world_m.md
S7 Video world model memory,Long-Context State-Space Video World Models,2025,arXiv:2505.20171,long-range world state,SSM global memory + local attention,Trained,High,state-space memory 替代 attention memory 的代表。,https://arxiv.org/abs/2505.20171,Verified by web,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s7_2505_20171_long_context_state_space_video_world_models.md
S7 Video world model memory,MIND: Benchmarking Memory Consistency and Action Control in World Models,2026,arXiv:2602.08025,memory consistency + action control,benchmark / closed-loop revisiting,N/A,Must-read,world model memory 评测核心 benchmark。,https://arxiv.org/abs/2602.08025,Verified by web,web-read,notes/paper_notes/web_read_all_v0.4/s7_2602_08025_mind_benchmarking_memory_consistency_and_action_control_in_world_model.md
S7 Video world model memory,MoVerse,2026,arXiv:2606.13376,interactive navigable world from image,spatial memory + Gaussian-conditioned rendering,Trained/system,Related,单图到可导航世界中的 spatial memory。,https://arxiv.org/abs/2606.13376,Verified by web,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s7_2606_13376_moverse.md
S7 Video world model memory,RELIC: Real-time Long Context Interactive World Models,2025,arXiv:2512.04040,interactive long-context memory,compressed historical latent tokens + actions + camera poses in KV cache,Trained/system,Must-read,实时交互 world model 中 latent/history/action/camera 统一进 KV cache。,https://arxiv.org/abs/2512.04040,Verified by web,web-read,notes/paper_notes/web_read_all_v0.4/s7_2512_04040_relic_real_time_long_context_interactive_world_models.md
S7 Video world model memory,ReMind: Dynamic Memory for Out-of-Sight State Evolution,2026,arXiv:2605.25333,hidden state evolution,memory-oriented data + event-aware training + cache adaptation,Trained/system,High,out-of-sight state evolution。,https://arxiv.org/html/2605.25333v1,Verified by web,web-read,notes/paper_notes/web_read_all_v0.4/s7_2605_25333_remind_dynamic_memory_for_out_of_sight_state_evolution.md
S7 Video world model memory,Video World Models with Long-term Spatial Memory / SpMem,2025,arXiv:2506.05284,long-term spatial memory,working memory + spatial memory + episodic memory,Trained/system,Must-read,geometry-grounded spatial memory 核心论文。,https://arxiv.org/abs/2506.05284,Verified by web,web-read,notes/paper_notes/web_read_all_v0.4/s7_2506_05284_video_world_models_with_long_term_spatial_memory_spmem.md
S7 Video world model memory,WorldMem: Long-term Consistent World Simulation with Memory,2025,arXiv:2504.12369,scene/world memory,memory frames + states such as pose/timestamp,Trained/system,Must-read,视频世界模型 memory bank 代表。,https://arxiv.org/abs/2504.12369,Verified by web,web-read,notes/paper_notes/web_read_all_v0.4/s7_2504_12369_worldmem_long_term_consistent_world_simulation_with_memory.md
S7 Video world model memory,WorldPack: Compressed Memory Improves Spatial Consistency in Video World Modeling,2025,arXiv:2512.02473,spatial consistency,trajectory packing + memory retrieval,Trained/system,High,压缩记忆提升空间一致性。,https://arxiv.org/abs/2512.02473,Verified by web,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s7_2512_02473_worldpack_compressed_memory_improves_spatial_consistency_in_video_worl.md
S7 Video world model memory,WorldPlay,2025,arXiv:2512.14614,real-time interaction / memory attenuation,Reconstituted Context Memory,Trained/system,High,interactive world modeling 中动态重建过去上下文。,https://arxiv.org/abs/2512.14614,Verified by web,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s7_2512_14614_worldplay.md
S8 Evaluation / benchmarks,LiveBench / LoopNav / MAG-Bench,2025-2026,various,revisit / loop / interactive consistency,benchmarks,N/A,Related,作为未来补充评测集合，需逐个验证。,,From prior docs / To verify,metadata-only,notes/paper_notes/web_read_all_v0.4/s8_noid_livebench_loopnav_mag_bench.md
S8 Evaluation / benchmarks,MIND,2026,arXiv:2602.08025,world model memory consistency and action control,closed-loop revisiting benchmark,N/A,Must cite,world-state memory 评测核心。,https://arxiv.org/abs/2602.08025,Verified by web,web-read,notes/paper_notes/web_read_all_v0.4/s8_2602_08025_mind.md
S8 Evaluation / benchmarks,NarraStream-Bench,2026,IAMFlow paper,multi-prompt narrative identity consistency,benchmark,N/A,High,叙事/多实体 identity memory 评测。,https://arxiv.org/abs/2605.18733,Verified by web,web-read,notes/paper_notes/web_read_all_v0.4/s8_2605_18733_narrastream_bench.md
S8 Evaluation / benchmarks,VBench / VBench-Long,2023-2025,benchmark,"video quality, subject consistency, dynamic degree",automatic benchmark,N/A,Must cite,长视频质量和一致性常用指标；需指出会被 loop/frozen video 误导。,https://vchitect.github.io/VBench-project/,From prior docs / To verify,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s8_noid_vbench_vbench_long.md
S8 Evaluation / benchmarks,VQeval,2026,LVSA paper,loop/frozen degeneration penalty,metric/evaluator,N/A,High,评测章节的重要论据：普通 consistency metric 可能奖励静止循环。,https://arxiv.org/abs/2605.31057,Verified by web,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s8_2605_31057_vqeval.md
S8 Evaluation / benchmarks,WorldScore,2025/2026,benchmark,world model spatial/3D quality,benchmark,N/A,Related,Mirage 等 world model memory 论文中使用。,,From web abstract / To verify,metadata-only,notes/paper_notes/web_read_all_v0.4/s8_noid_worldscore.md
